TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2020-04-08 10:32:49.593,0.9853687,0.8212516,1.2378335,0.8655028,0.49038896,-0.032915667,-0.19715388,0.40873456,0.42318293,0.2900934,0.119247355,0.5897287,0.6172825,0.1276423,-0.0012056599,0.6839299,0.46012896,0.08202329,-0.347326,0.3688983,550.40295,743.00366,699.0842,281.64835,771.6117,-0.107177734375,0.02593994140625,0.97271728515625,0.560760498046875,-0.949554443359375,7.409515380859375,1,2.0,1.0,1.0,2.0,40.00
2020-04-08 10:32:50.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-04-08 10:32:50.599,0.9853687,0.8212516,1.2378335,0.8655028,0.49038896,-0.032915667,-0.19715388,0.40873456,0.42318293,0.2900934,0.119247355,0.5897287,0.6172825,0.1276423,-0.0012056599,0.6839299,0.46012896,0.08202329,-0.347326,0.3688983,625.34796,763.5531,728.49817,520.18317,829.2308,-0.03436279296875,0.1204833984375,1.02001953125,2.7813720703125,-14.303131103515625,12.344207763671875,1,2.0,1.0,1.0,2.0,40.00
2020-04-08 10:32:51.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-04-08 10:32:51.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2020-04-08 10:32:51.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-04-08 10:32:51.605,0.9853687,0.515586,1.0602459,0.8655028,0.49038896,-0.0326768,0.3951988,0.40873456,0.42318293,0.52627635,0.11685531,0.5897287,0.6172825,0.55371636,0.24685395,0.6839299,0.46012896,0.35405967,-0.20819364,0.3688983,649.92676,545.56775,706.337,945.6777,803.0403,0.0653076171875,0.13177490234375,0.9935302734375,-3.581390380859375,3.372039794921875,-15.91064453125,1,2.0,1.0,1.0,2.0,40.00
2020-04-08 10:32:52.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-04-08 10:32:52.614,0.9853687,0.27734515,1.1078614,0.8655028,0.49038896,0.025583975,0.417315,0.40873456,0.42318293,0.5060206,0.02991898,0.5897287,0.6172825,0.6050563,0.2542891,0.6839299,0.46012896,0.35218474,-0.2156669,0.3688983,865.4945,732.9304,774.0293,749.45056,772.4176,0.07958984375,0.0479736328125,0.99810791015625,5.944061279296875,-2.280426025390625,-28.509063720703125,1,2.0,1.0,1.0,2.0,40.00
2020-04-08 10:32:53.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-04-08 10:32:53.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-04-08 10:32:53.621,0.9853687,0.27734515,1.1078614,0.8655028,0.49038896,0.025583975,0.417315,0.40873456,0.42318293,0.5060206,0.02991898,0.5897287,0.6172825,0.6050563,0.2542891,0.6839299,0.46012896,0.35218474,-0.2156669,0.3688983,847.76556,770.0,865.4945,0.0,801.8315,-0.0093994140625,0.01153564453125,1.012451171875,-10.03387451171875,13.690032958984375,37.615814208984375,1,2.0,1.0,1.0,2.0,40.00
2020-04-08 10:32:53.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-04-08 10:32:54.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-04-08 10:32:54.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
